"rlat","rlon","loc","scale","shape"
-1.2,-2.84,0.00486681848046301,0.00309793656204833,0.121580710618352
-1.2,-2.82,0.00441927678374657,0.00287426989049652,0.203888332065828
-1.2,-2.8,0.00368736952851313,0.00256298065216861,0.23844603855507
-1.18,-2.84,0.00413533984386375,0.00302854482107599,0.12884582641681
-1.18,-2.82,0.00458096430144178,0.00311819948806444,0.00404694950095025
-1.18,-2.8,0.0039155892577068,0.00263336769594087,0.233847518978846
-1.16,-2.84,0.00372237585156182,0.00272177394903095,0.218759349504732
-1.16,-2.82,0.00359012657085211,0.00255832203003793,0.138432828405127
-1.16,-2.8,0.00357151743546844,0.00248879958593345,0.207278476444685
-1.14,-2.84,0.00352069724960567,0.00230402213235907,0.175775498779199
-1.14,-2.82,0.00391262428224138,0.0023528975873393,-0.051603441093103
-1.14,-2.8,0.00351965785786963,0.00239016211096534,0.317747450363895
-1.12,-2.84,0.00387243807445728,0.00239323000953223,0.197758759448635
-1.12,-2.82,0.00406900207135243,0.00259535439307047,-0.0257608421939098
-1.12,-2.8,0.00355985025602652,0.002593144447839,0.401257255943359
-1.1,-2.84,0.00335156433728658,0.00217767780760353,0.241448475541267
-1.1,-2.82,0.00304479347089138,0.00197936109385074,0.242860593756662
-1.1,-2.8,0.00322988502280699,0.00234723318066587,0.309061398647293
-1.08,-2.84,0.00348128833279537,0.00238114226994739,0.00691271463933572
-1.08,-2.82,0.00302337385592939,0.00211356958448,0.194660966385967
-1.08,-2.8,0.00305466443827812,0.00243444823268654,0.353952648654435
-1.06,-2.84,0.00383420816130857,0.0027074503607645,0.130846050471575
-1.06,-2.82,0.00321366895905281,0.00275954385501723,0.400326022932885
-1.06,-2.8,0.00328538925622618,0.00293120565901553,0.393891451070401
-1.04,-2.84,0.00402308794952769,0.00307946944811299,0.0864374631709572
-1.04,-2.82,0.00382589960925776,0.00330768077786438,0.182302699563295
-1.04,-2.8,0.00381419716891057,0.0033162276825741,0.169481007848378
-1.02,-2.84,0.00380982943613023,0.00294435440513044,-0.11184308648109
-1.02,-2.82,0.00433060410299117,0.00312861726894916,-0.107418522156506
-1.02,-2.8,0.00430503530580721,0.00325652638010676,0.0680658407416572
